Exchange Date,Close,Open,Low,High,Volume
11/17/2010,425.5,426.89,424.32,430.24,37056000
11/16/2010,426.89,431.08,425.05,431.33,35343000
11/15/2010,433.54,440.61,432.72,443.08,29774000
11/12/2010,441.6,444.78,436.5,446.86,44512000
11/11/2010,446.69,451.24,446.31,451.61,26415000
11/10/2010,451.26,447.72,447.61,451.26,25467000
11/9/2010,449.4,455.58,449.4,455.65,41961000
11/8/2010,457.13,457.5,454.41,458.74,32595000
11/5/2010,457.27,452.41,450.09,457.27,36937000
11/4/2010,448.95,444.13,443.97,448.95,28686000
11/3/2010,444.16,445.33,442.34,445.76,26111000
11/2/2010,446.3,448.62,445.6,448.87,25532000
11/1/2010,451.06,451.81,449.83,451.86,22155000
10/29/2010,452.63,450.5,450.29,452.79,33401000
10/28/2010,450.07,448.62,448.28,451.51,23493000
10/27/2010,450.01,455.23,448.9,455.93,28560000
10/26/2010,455.12,450.23,450.23,458.23,34949000
10/25/2010,448.61,444.67,443.12,448.61,28648000
10/22/2010,445.21,444.84,441.5,446.39,27821000
10/21/2010,445.05,442.09,440.59,445.25,28765000
10/20/2010,442.17,450.79,441.16,451.04,41248000
10/19/2010,454.25,458.44,451.82,459.39,33547000
10/18/2010,457.59,458.44,456,459.35,26646000
10/15/2010,458.39,457.07,455.73,458.39,25254000
10/14/2010,458.66,459.79,457.88,460.92,23257000
10/13/2010,457.7,453.23,452.19,457.7,25055000
10/12/2010,454.32,457.19,453.72,459.94,28580000
10/11/2010,459.32,457.41,456.6,461.48,23723000
10/8/2010,459.26,459.3,459.26,465.05,30505000
10/7/2010,462.05,461.99,460.16,467.61,37348000
10/6/2010,460.72,452.88,452.78,460.72,38311000
10/5/2010,450.96,440.91,440.63,450.96,33229000
10/4/2010,445.83,452.38,443.98,452.38,50092000
10/1/2010,451.71,454.41,451.71,455.46,35784000
9/30/2010,454.52,452.71,451.28,454.52,40627000
9/29/2010,452.94,457.99,452.94,458,33195000
9/28/2010,455.13,452.07,452.07,455.13,38954000
9/27/2010,450.2,451.17,449.37,452.51,37409000
9/24/2010,449.71,449.13,448.16,452.28,34935000
9/23/2010,450.77,451.41,447.16,453.71,52220000
9/22/2010,453.9,453.01,453.01,455.81,33407000
9/21/2010,453.32,457.73,453.32,457.92,57417000
9/20/2010,457.87,462.01,457.87,462.83,55546000
9/17/2010,457.58,451.49,450.64,457.58,49764000
9/16/2010,449.52,445.69,445.49,450.85,38076000
9/15/2010,448.72,449.07,444.74,450.48,38665000
9/14/2010,449.01,450.95,447.95,451.46,37526000
9/13/2010,447.27,448.97,442.43,452.47,46336000
9/10/2010,451.39,463.48,451.39,464.28,53016000
9/9/2010,463.68,462.53,459.86,465.69,47981000
9/8/2010,458.44,454.4,453.03,458.44,56088000
9/7/2010,460.59,463.35,458.93,467.35,52680000
9/6/2010,466,463.94,463.94,469.25,57209000
9/1/2010,458.75,456.48,450.93,458.75,47060000
8/31/2010,455.08,447.86,445.36,455.43,55601000
8/30/2010,444.55,439.27,439.27,445.44,34602000
8/27/2010,429.14,423.1,421.73,431.24,34085000
8/26/2010,427.07,425.54,421.81,429.12,39742000
8/25/2010,423.89,427.01,421.3,428.46,51493000
8/24/2010,434.42,441.73,433.6,441.73,47295000
8/23/2010,447.92,453.06,447.92,453.06,24990000
8/20/2010,454.84,452.06,444.38,454.84,34205000
8/19/2010,452.23,454.5,450.07,455.94,31549000
8/18/2010,455.49,461.76,453.23,462.12,37456000
8/17/2010,463.52,461.89,457.19,463.87,36698000
8/16/2010,464.76,458.09,456.88,464.76,42908000
8/13/2010,452.73,440.72,440.72,452.73,45954000
8/12/2010,448.4,458.03,448.25,458.59,49742000
8/11/2010,463.12,463.08,458.86,465.88,40059000
8/10/2010,461.67,468.84,458.22,469.31,57297000
8/9/2010,472.74,482.65,472.51,482.65,43433000
8/6/2010,482.82,485.22,482.37,485.22,36668000
8/5/2010,486.21,488.75,485.36,489.17,37421000
8/4/2010,486.71,490.29,484.66,490.31,41528000
8/3/2010,491.9,493.4,491.9,496.53,42361000
8/2/2010,491.61,494.78,491.27,495.26,37376000
7/30/2010,493.91,491.3,491.3,495.1,46043000
7/29/2010,491.11,488.92,488.92,492.92,37474000
7/28/2010,491,497.4,491,497.86,46860000
7/27/2010,497.67,499.03,497.67,501.86,43165000
7/26/2010,498.1,501.2,498.1,501.92,42462000
7/23/2010,500.31,502.79,499.73,502.87,39664000
7/22/2010,500.28,503.13,500.04,503.62,50035000
7/21/2010,505.4,507.16,505.35,507.27,50043000
7/20/2010,506.56,507.04,505.23,507.25,47750000
7/19/2010,506.84,504.25,503.22,506.84,43413000
7/16/2010,506.21,505.47,504.17,507.12,46031000
7/15/2010,505.19,505.84,505.01,507.63,42692000
7/14/2010,507.34,512.22,507.34,512.81,53205000
7/13/2010,509.08,505.42,502.58,509.86,47025000
7/12/2010,499.93,499.83,497.16,500.39,36909000
7/9/2010,499.46,499.05,498.96,501.11,30833000
7/8/2010,498.55,502.06,498.55,502.2,42418000
7/7/2010,496.91,502.5,496.91,503.84,46413000
